vorname,vorkommen
Johann,"KS, TF, EW, MB, BT, MU"
Friedrich,"EW, BT, MU"
Heinrich,"KS, TF, EW, MB, BT, MU"
Georg,"KS, TF, EW, MB, BT, MU"
Christian,"KS, TF, EW, MB, BT, MU"
Christoph,"KS, TF, EW, MB, BT, MU"
Wilhelm,"KS, TF, EW, MB, BT, MU"
Ludwig,"KS, TF, EW, MB, BT, MU"
Ernst,"TF, EW, MB, BT, MU"
Philipp,"KS, TF"
Karl,"EW, MB, BT, MU"
Franz,"EW, MB, BT, MU"
Joachim,"EW, MB, BT, MU"
Hans,"EW, MB, BT, MU"
Anton,"KS, TF, EW, MB, BT, MU"
August,"KS, TF, EW, MB, BT, MU"
Otto,"KS, TF, EW, MB, BT, MU"
Adam,"MU, RI"
Hermann,"TF, EW, MB, BT, MU"
Andreas,"KS, TF, EW, MB, BT, MU"
Bernhard,"TF, EW, MB, BT, MU"
Johannes,"KS, TF, EW, MB, BT, MU"
Jakob,"EW, MB, BT, MU"
Jacob,"KS, TF, EW, MB"
Martin,"KS, TF, EW, MB, MU"
Michael,"TF, EW, MB, BT, MU"
Peter,"TF, EW, MB, BT, MU"
Caspar,"KS, TF, EW, MB, BT, MU"
Paul,"KS, TF, EW, MB, BT, MU, RI"
Carl,"KS, TF"
Joseph,"KS, TF, EW, MB, BT, MU"
Ferdinand,"EW, MB, BT, MU"
Gustav,"KS, TF, EW, MB, BT, MU"
Fritz,"EW, MB, BT, MU"
Maximilian,"KS, TF, EW, MB, BT, MU"
Rudolf,BT
Richard,"EW, MB, BT"
Julius,"TF, EW, MB, BT, MU"
Theodor,"KS, TF, EW, MB, BT, MU"
Jacques,"KS, TF"
Julien,"KS, TF, EW"
Konrad,"MB, BT, MU"
Jules,"KS, TF"
Clement,KS
Frederic,KS
Luca,"KS, TF"
Louis,"KS, TF"
Niroi,KS
Leo,"KS, TF"
Franc,KS
Leopold,BT
Fiete,MB
Ole,"MB, MU"
Bahne,MB
Luk,"MB, MU"
Eike,"MB, MU"
Alrich,"MB, MU"
Peer,MB
Jasper,MB
Hugo,"MB, MU"
Nils,"MB, MU"
Jens,"MB, MU"
Balin,"BT, ZW"
Bifur,"BT, ZW"
Bombur,ZW
Dwalin,"BT, ZW"
Thorin,"BT, ZW"
Kili,"BT, ZW"
Buri,"BT, ZW"
Aldon,"EW, EL"
Elohir,"EW, EL"
Elros,"EW, EL"
Olwe,"EW, EL"
Elurin,"EW, EL"
Dior,"EW, EL"
Thorondor,EL
Adon,"MU, RI"
Japhi,"MU, RI"
Sofar,RI
Nokah,RI
Amon,"MU, RI"
Chayim,RI
Din,"MU, RI"
Hiram,RI
Ilai,"MU, RI"
Lior,"MU, RI"
Dober,RI
Schem,"MU, RI"
Zed,MU
Kiirion,EW
Hubertus,BT
Napiar,TF
Erlan,BT
Dis,"BT, ZW"
Idril,"EW, EL"
Lumiel,"EW, EL"
Meriel,"EW, EL"
Abmalk,RI
Nagid,RI
Hosek,RI
Hobel,RI
Ikar,RI
Lapid,RI
Sabal,RI
Korem,RI
Jitron,RI
Jonas,"MU, MB, EW"
Jona,RI
Jürgen,"MB, EW"
Horst,"MB, MU"
Casimir,MU
Methusa,RI
